benchmark_role,feature_set,feature_family,model_type,candidate_compatible,selected_by_validation,bn_slice_train_scope,bn_formula_count,bn_row_count,completed_holds,mae,rmse,r2,global_dummy_mae,mae_minus_global_dummy,beats_global_dummy,family_holdout_mae,family_holdout_rmse,family_holdout_r2,family_holdout_beats_global_dummy,grouped_bn_mae,grouped_non_bn_mae,grouped_bn_to_non_bn_mae_ratio,screening_eligible,is_best_candidate_compatible,is_best_candidate_compatible_family_holdout
candidate_model,matminer_composition,composition_only,torch_mlp,True,False,full_dataset_minus_held_out_bn_formula,10,12,10,1.1942401820490969,1.765297213487408,0.042002547450128214,1.325744527546155,-0.13150434549705814,True,1.2032463382198795,1.7985980756628706,0.005517988871099999,,,,,True,True,True
candidate_model,basic_formula_composition,composition_only,torch_mlp,True,False,full_dataset_minus_held_out_bn_formula,10,12,10,1.2955386654572736,1.9598194735704184,-0.18075779200384345,1.325744527546155,-0.03020586208888143,True,1.2879840705427654,1.9511478020361153,-0.170331840889832,,,,,True,False,False
candidate_model,fractional_composition_vector,composition_only,torch_mlp,True,False,full_dataset_minus_held_out_bn_formula,10,12,10,1.2964623599830527,1.9979095326857295,-0.2271010309392434,1.325744527546155,-0.029282167563102313,True,1.3013041911573235,2.0129485439909476,-0.2456442557481302,,,,,True,False,False
global_dummy_mean_baseline,matminer_composition,composition_only,dummy_mean,True,False,full_dataset_minus_held_out_bn_formula,10,12,10,1.325744527546155,1.893393456667956,-0.10207316263052313,1.325744527546155,0.0,False,1.3254913742008145,1.8931717174659868,-0.1018150456361595,,,,,True,False,False
candidate_model,fractional_composition_vector,composition_only,linear_regression,True,False,full_dataset_minus_held_out_bn_formula,10,12,10,1.3614238876919749,2.002460195998732,-0.23269736357113668,1.325744527546155,0.03567936014581985,False,1.3466313589279457,1.989771220030963,-0.2171244108306578,,,,,True,False,False
candidate_model,fractional_composition_vector,composition_only,hist_gradient_boosting,True,False,full_dataset_minus_held_out_bn_formula,10,12,10,1.3925204454038054,1.9873160076997038,-0.21412260320990972,1.325744527546155,0.06677591785765036,False,1.3879228533072048,1.9946725342292058,-0.22312797182427202,,,,,True,False,False
candidate_model,matminer_composition,composition_only,linear_regression,True,False,full_dataset_minus_held_out_bn_formula,10,12,10,1.421702807119639,1.7280287611839718,0.0820255027247353,1.325744527546155,0.0959582795734839,False,1.4139821232230967,1.7224701299534775,0.08792178733052258,,,,,True,False,False
candidate_model,basic_formula_composition,composition_only,linear_regression,True,False,full_dataset_minus_held_out_bn_formula,10,12,10,1.4856784774141343,1.7698412353022714,0.03706426964707399,1.325744527546155,0.15993394986797926,False,1.4733322682941667,1.7554563789690834,0.05265369112088869,,,,,True,False,False
screening_model,matminer_composition,composition_only,hist_gradient_boosting,True,False,full_dataset_minus_held_out_bn_formula,10,12,10,1.6382932753929258,2.02946189070356,-0.2661655235789151,1.325744527546155,0.3125487478467708,False,1.492292003261776,1.9225070489153704,-0.1362255856093728,,,,,True,False,False
candidate_model,basic_formula_composition,composition_only,hist_gradient_boosting,True,False,full_dataset_minus_held_out_bn_formula,10,12,10,1.9939971401773158,2.270857226073271,-0.5852886230154386,1.325744527546155,0.6682526126311608,False,1.9154913606830088,2.282743784097187,-0.6019281038690851,,,,,True,False,False
bn_local_reference_baseline,matminer_composition,composition_only,bn_local_knn_mean,True,False,bn_only_reference_formulas,10,12,10,2.2142155555555556,2.419236837210966,-0.7992249150753783,1.325744527546155,0.8884710280094006,False,1.690122222222222,2.076316853451304,-0.3253053195386799,,,,,True,False,False
