formula,ranking_rank,ranking_score,predicted_band_gap,ensemble_predicted_band_gap_mean,ensemble_predicted_band_gap_std,grouped_robustness_predicted_band_gap_mean,grouped_robustness_predicted_band_gap_std,domain_support_percentile,domain_support_mean_k_distance,bn_support_percentile,bn_support_mean_k_distance,chemical_plausibility_pass,candidate_novelty_bucket,proposal_shortlist_selected,proposal_shortlist_rank,extrapolation_shortlist_selected,extrapolation_shortlist_rank,ranking_source_count,predicted_band_gap_mean,predicted_band_gap_std,rank_mean,rank_std,rank_min,rank_max,predicted_band_gap_interval_lower,predicted_band_gap_interval_upper,top_3_selection_frequency,top_5_selection_frequency,top_10_selection_frequency,top_20_selection_frequency,bn_centered_ranking_rank,structure_followup_priority_score,structure_followup_best_queue_rank,structure_followup_best_action_label,structure_followup_readiness_label,structure_followup_shortlist_selected,structure_followup_shortlist_rank,abstain_flag,reason_for_abstention,final_action_label
BCN2,1,1.692359050218978,1.7694901067708138,1.9622574788366158,0.28042107083096557,1.8749467765901726,0.5979192880143662,53.969059092061876,0.22420456329683539,100.0,0.2897692061607849,True,formula_level_extrapolation,True,1,True,1,14,1.943581138639862,0.3680030111531155,3.857142857142857,4.605300338608896,1,18,1.7456865663937002,2.3112963196459946,0.6428571428571429,0.7857142857142857,0.9285714285714286,1.0,1,4.65,1.0,stoichiometry_adjustment_enumeration,low_complexity_stoichiometry_adjustment,True,1,False,,low_risk_followup
BCN,2,1.6601926534169231,1.7593759811892278,1.9566056590419987,0.2822864798740423,1.9261639179153065,0.7119091827001403,23.586101952827796,0.32094298667284676,100.0,0.3367076513771327,True,formula_level_extrapolation,True,2,True,2,14,1.9556406081831454,0.4235378777140368,3.9285714285714284,4.779190239011138,1,17,1.7435674673330106,2.3912661703325533,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,2,4.25,3.0,stoichiometry_adjustment_enumeration,low_complexity_stoichiometry_adjustment,True,3,True,outside_global_support,abstain_model_unreliable
BC2N,3,1.6029674687428148,1.5877313022705697,1.8915443696746268,0.32767301898150497,1.8194811701527933,0.8316026096070629,56.5051990869896,0.2168802745050054,100.0,0.2168663361117785,True,train_plus_val_rediscovery,True,3,False,,14,1.8674737255857674,0.49306944401356095,5.357142857142857,5.745997173379353,1,21,1.6210898510749003,2.337913599876663,0.6428571428571429,0.8571428571428571,0.8571428571428571,0.9285714285714286,3,4.416666666666667,2.0,reference_reuse_control,reference_reuse_control_available,True,2,True,high_rank_instability,reuse_reference_control
AlBN2,4,1.545697017844994,1.7994922096624428,2.086346139406675,0.613093284580872,1.7448255703186262,0.7606831951416336,40.3753487192493,0.2657187058640703,40.0,1.037329802834013,True,formula_level_extrapolation,True,4,True,3,14,1.8656120288263385,0.5375094907402652,5.142857142857143,3.109715368056966,1,12,1.3955724837722807,2.5750192495725934,0.21428571428571427,0.7142857142857143,0.8571428571428571,1.0,5,,,,,,,True,high_prediction_uncertainty,abstain_model_unreliable
SiBN2,5,1.475514296395235,1.565123337939758,1.7646166552794962,0.20477586803308676,1.6239050391896097,0.4447628324514522,46.03094090793812,0.2476313410419901,40.0,0.8086365941181054,True,formula_level_extrapolation,True,5,False,,14,1.695962980336392,0.27543036814290195,7.785714285714286,4.80670319495552,5,24,1.537913846237471,1.9917668745256487,0.0,0.07142857142857142,0.9285714285714286,0.9285714285714286,6,,,,,,,False,,low_risk_followup
SiBN,6,1.3819408924812948,1.4058906573802128,1.7097714161304294,0.266109799766337,1.370897466526493,0.463251812510277,24.118691351762617,0.31917187928595303,40.0,0.8513016450090045,True,formula_level_extrapolation,True,6,False,,14,1.568321680134402,0.3284217296156678,10.0,4.169486225497739,8,23,1.1942128899462545,1.7709317595708782,0.0,0.0,0.7857142857142857,0.9285714285714286,7,,,,,,,True,outside_global_support,abstain_model_unreliable
Si2BN,7,1.270158153069001,1.3135038261675758,1.6406970274696437,0.32284450074694454,1.338690759513007,0.5941108268478037,39.10727872178544,0.27019667073352965,40.0,0.9509284376642692,True,train_plus_val_rediscovery,True,7,False,,14,1.47161913671002,0.3866606813586928,11.0,4.9613893835683385,6,22,1.160876549197722,1.8314517668807966,0.0,0.0,0.7857142857142857,0.8571428571428571,8,3.4642857142857144,4.0,reference_reuse_control,reference_reuse_control_available,True,4,False,,reuse_reference_control
TlBN2,8,1.2483750734179546,1.427232705465535,1.651991400952698,0.32784857387086574,1.2554112647945384,0.13128027066206985,44.20492011159016,0.25372284166572506,0.0,6.303643539766404,True,formula_level_extrapolation,True,8,False,,14,1.4454644217363988,0.2406880788769717,11.5,5.774612874137438,1,24,1.228121718517935,1.5614436956634348,0.07142857142857142,0.07142857142857142,0.6428571428571429,0.8571428571428571,9,,,,,,,True,outside_bn_local_support|high_rank_instability,abstain_model_unreliable
BN,9,1.2379122269946918,1.668636460682167,1.5033429873456086,0.27718988217166846,1.9317335512934366,0.8455721284338832,72.0770986558458,0.17391534461043406,100.0,0.24259259251134047,True,train_plus_val_rediscovery,True,9,False,,14,1.7599938755214597,0.5241869042797243,7.857142857142857,8.583142179314617,1,25,1.2412929880742265,2.394850426355563,0.21428571428571427,0.7142857142857143,0.7857142857142857,0.8571428571428571,4,3.3055555555555554,5.0,reference_reuse_control,reference_reuse_control_available,True,5,True,high_rank_instability,reuse_reference_control
SnBN2,10,1.1359182649254254,1.229030277944256,1.635080595952973,0.5190545504308494,1.4230510694658727,0.13090037208082023,29.698199340603605,0.2997860823274263,0.0,3.913663442460266,True,formula_level_extrapolation,False,,False,,14,1.4398076676162892,0.2955932656159623,13.0,5.1291024855906615,2,21,1.2567916473986585,1.6188138996728212,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.9285714285714286,14,,,,,,,True,outside_bn_local_support|low_top_10_selection_frequency,abstain_model_unreliable
SnBN,11,1.125530015739416,1.3277292672699315,1.6400911416205732,0.5152679319287933,1.1109985841173615,0.12165659236078581,21.886888156226224,0.32641473504435325,0.0,5.231322658381304,True,formula_level_extrapolation,False,,False,,14,1.301511105961411,0.34352138386576225,15.857142857142858,5.066589550213208,4,20,1.0424367957668843,1.5507029506607717,0.0,0.07142857142857142,0.14285714285714285,1.0,16,,,,,,,True,outside_global_support|outside_bn_local_support|low_top_10_selection_frequency,abstain_model_unreliable
GeBN2,12,1.1244091404876402,1.169938963471783,1.6627864222031736,0.5621389069738891,1.3163159776079016,0.15767142903935413,22.72381435455237,0.32402425841260357,0.0,2.9407216176456736,True,formula_level_extrapolation,False,,False,,14,1.4276367978916886,0.3245225601592129,12.0,3.6162028533978945,3,16,1.1775455088019713,1.6199374420514212,0.07142857142857142,0.07142857142857142,0.2857142857142857,1.0,13,,,,,,,True,outside_global_support|outside_bn_local_support|low_top_10_selection_frequency,abstain_model_unreliable
GaBN2,13,1.1055737966425982,1.0677242840265486,1.6938111787432897,0.6631523286082724,1.064452183136868,0.24440811864370113,27.187420745625158,0.3084312038574243,0.0,2.8770900083362587,True,formula_level_extrapolation,False,,False,,14,1.36561662143183,0.435041902575685,12.214285714285714,3.332325855074141,6,19,0.897865198136207,1.6214733048300538,0.0,0.0,0.21428571428571427,1.0,11,,,,,,,True,outside_bn_local_support|low_top_10_selection_frequency,abstain_model_unreliable
InBN2,14,1.0742621449274425,1.0600249298984248,1.6075462236561717,0.5587113821363943,1.1516824948151712,0.22618925107021287,31.651027136697945,0.29202227384902485,0.0,3.8242233241369483,True,formula_level_extrapolation,False,,False,,14,1.3550619303418283,0.3520701568743378,12.928571428571429,3.292515655340053,5,18,1.0494846732931449,1.5900938132314442,0.0,0.07142857142857142,0.14285714285714285,1.0,12,,,,,,,True,outside_bn_local_support|low_top_10_selection_frequency,abstain_model_unreliable
GeBN,15,0.9779874180149807,1.0385216422172836,1.6059976865106058,0.6193266231033512,0.9353995999668945,0.13954189065853762,12.097387775805224,0.37558678287291225,0.0,3.96668228571348,True,formula_level_extrapolation,False,,False,,14,1.2409968824599902,0.4146944747691163,16.357142857142858,3.4775575614799816,8,20,0.850609863365225,1.5693330238872667,0.0,0.0,0.07142857142857142,1.0,18,,,,,,,True,outside_global_support|outside_bn_local_support|low_top_10_selection_frequency,abstain_model_unreliable
Al2BN,16,0.9776570335372053,0.7822587223285529,1.7320195124051176,0.9353819575751094,1.0612934788685429,0.6782242367348891,14.177022571645956,0.3628635940165021,30.0,1.3704655546970834,True,formula_level_extrapolation,True,10,True,4,14,1.3774282678262988,0.6502373813250041,12.285714285714286,6.378190862722649,1,25,0.7903504371446045,1.8492612942515365,0.07142857142857142,0.14285714285714285,0.2857142857142857,0.9285714285714286,10,,,,,,,True,outside_global_support|high_prediction_uncertainty|high_rank_instability|low_top_10_selection_frequency,abstain_model_unreliable
Ge2BN,17,0.944656894357306,1.0005397449505313,1.5327298585967648,0.6874049375687846,0.9184259077153543,0.162469969700442,28.354045143291913,0.30461168047843623,0.0,6.140136986529755,True,formula_level_extrapolation,False,,True,5,14,1.1230133470707906,0.4371705851755734,18.5,4.988448194039443,7,24,0.8639078582679744,1.509673205912319,0.0,0.0,0.07142857142857142,0.5714285714285714,19,,,,,,,True,outside_bn_local_support|low_top_10_selection_frequency,abstain_model_unreliable
InBN,18,0.8577887842331571,0.7169331946666638,1.496827432226214,0.6929939000099588,0.6055791485143126,0.2211208304454989,18.437737763124524,0.339845566262174,0.0,5.147189685436767,True,formula_level_extrapolation,False,,False,,14,1.0925510760083341,0.5274084815550589,18.071428571428573,3.852357634054676,9,22,0.6092259941480652,1.5439659045124687,0.0,0.0,0.07142857142857142,0.6428571428571429,15,,,,,,,True,outside_global_support|outside_bn_local_support|low_top_10_selection_frequency,abstain_model_unreliable
Sn2BN,19,0.8300840326756922,0.721996447310769,1.433425990463878,0.7313092537553244,0.7070049409640164,0.11791553940349074,39.2594471214811,0.26936508120945984,0.0,8.032605309689925,True,formula_level_extrapolation,False,,False,,14,1.01937697660537,0.4678361164495854,20.285714285714285,2.8128433856309725,13,23,0.6392236802051569,1.46450597915946,0.0,0.0,0.0,0.5,20,,,,,,,True,outside_bn_local_support|low_top_10_selection_frequency,abstain_model_unreliable
GaBN,20,0.7661868860599995,0.553034306415899,1.5330576144405241,0.8594348813687832,0.41806730865809083,0.21520908510584547,10.854679178290642,0.38404843502472114,0.0,3.9290590915641315,True,formula_level_extrapolation,False,,False,,14,1.0428099784884117,0.6558508452492228,17.857142857142858,5.31843156256751,5,24,0.28755218962698287,1.5794736597429364,0.0,0.07142857142857142,0.07142857142857142,0.6428571428571429,17,,,,,,,True,outside_global_support|outside_bn_local_support|high_prediction_uncertainty|low_top_10_selection_frequency,abstain_model_unreliable
Tl2BN,21,0.6496787347753228,0.6059433829236659,1.340761871175784,0.6612418255081847,0.6839778858084715,0.2661130236497293,8.24245498351509,0.4082912165294728,0.0,12.42470513846449,True,formula_level_extrapolation,False,,False,,14,1.0010015925170843,0.4452900938656859,20.357142857142858,1.9057460827371866,16,23,0.5760167883695514,1.4312987755472237,0.0,0.0,0.0,0.2857142857142857,22,,,,,,,True,outside_global_support|outside_bn_local_support|low_top_10_selection_frequency,abstain_model_unreliable
Ga2BN,22,0.6113328328482392,0.30997158432186317,1.3922262512775414,0.9897367108144165,0.25650951435322755,0.05695633358038169,15.419731169160539,0.35532012782978456,0.0,6.087164160039921,True,formula_level_extrapolation,False,,False,,14,0.830580769932638,0.6762144117227936,21.785714285714285,6.411270981981311,4,25,0.2349872952246167,1.4819770756927133,0.0,0.07142857142857142,0.14285714285714285,0.14285714285714285,23,,,,,,,True,outside_global_support|outside_bn_local_support|high_prediction_uncertainty|high_rank_instability|low_top_10_selection_frequency,abstain_model_unreliable
In2BN,23,0.5933824785766961,0.16486758146908415,1.2930157708435166,0.9373010792809372,0.185072907557754,0.07321835084234668,30.71265533857469,0.2949506835338522,0.0,7.910116479805745,True,formula_level_extrapolation,False,,False,,14,0.7902165238939104,0.6630957130313844,22.5,4.310095483504174,10,25,0.13472654008181476,1.4639971587289262,0.0,0.0,0.07142857142857142,0.14285714285714285,21,,,,,,,True,outside_bn_local_support|high_prediction_uncertainty|low_top_10_selection_frequency,abstain_model_unreliable
