formula,candidate_source,prediction
BN,simple_bn_substitutions,2.51517042059859
AlP,simple_bn_substitutions,1.392457554463615
AlN,simple_bn_substitutions,1.1120263447674015
GaN,simple_bn_substitutions,1.0676416377623839
InN,simple_bn_substitutions,0.7988832854178396
GaP,simple_bn_substitutions,0.7791921666174854
TlN,simple_bn_substitutions,0.7005604950961949
AlAs,simple_bn_substitutions,0.4933674258445865
InAs,simple_bn_substitutions,0.3449959710598341
BAs,simple_bn_substitutions,0.3206862264562357
BP,simple_bn_substitutions,0.3153178083615066
TlAs,simple_bn_substitutions,0.31315896281468436
GaAs,simple_bn_substitutions,0.3033046216915899
AlSb,simple_bn_substitutions,0.26352615252435774
InP,simple_bn_substitutions,0.2534314118871382
GaBi,simple_bn_substitutions,0.23109123300891543
TlP,simple_bn_substitutions,0.23073761871220658
AlBi,simple_bn_substitutions,0.1861171157535837
GaSb,simple_bn_substitutions,0.1756430324787258
BSb,simple_bn_substitutions,0.16974785171155968
